Drug,Public/Private,Unit/MPR,Country,Year,Month,Price,P25,P75
Amitriptyline 25 mg cap/tab,Private,MPR,Afghanistan,2011,November,2.32,1.94,2.78
Amitriptyline 25 mg cap/tab,Public,MPR,Afghanistan,2011,November,1.78,1.65,1.97
Amoxicillin 500 mg cap/tab,Private,MPR,Afghanistan,2011,November,1.86,1.74,2.06
Amoxicillin 500 mg cap/tab,Public,MPR,Afghanistan,2011,November,1.53,1.46,1.58
Atenolol 50 mg cap/tab,Private,MPR,Afghanistan,2011,November,1.83,1.60,2.09
Atenolol 50 mg cap/tab,Public,MPR,Afghanistan,2011,November,1.49,1.38,1.81
Captopril 25 mg cap/tab,Private,MPR,Afghanistan,2011,November,1.61,1.51,1.69
Captopril 25 mg cap/tab,Public,MPR,Afghanistan,2011,November,1.27,1.26,1.35
Ceftriaxone 1 g/vial injection,Private,MPR,Afghanistan,2011,November,1.76,1.61,2.12
Ceftriaxone 1 g/vial injection,Public,MPR,Afghanistan,2011,November,1.32,1.17,1.38
Ciprofloxacin 500 mg cap/tab,Private,MPR,Afghanistan,2011,November,3.30,2.31,6.52
Ciprofloxacin 500 mg cap/tab,Public,MPR,Afghanistan,2011,November,2.31,2.31,2.64
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Afghanistan,2011,November,2.16,1.83,2.16
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Afghanistan,2011,November,1.68,1.68,1.92
Diazepam 5 mg cap/tab,Private,MPR,Afghanistan,2011,November,3.31,3.10,3.39
Diazepam 5 mg cap/tab,Public,MPR,Afghanistan,2011,November,2.48,2.15,2.48
Diclofenac 50 mg cap/tab,Private,MPR,Afghanistan,2011,November,5.21,3.52,7.05
Diclofenac 50 mg cap/tab,Public,MPR,Afghanistan,2011,November,3.19,3.12,3.29
Glibenclamide 5 mg cap/tab,Private,MPR,Afghanistan,2011,November,4.16,4.04,5.29
Glibenclamide 5 mg cap/tab,Public,MPR,Afghanistan,2011,November,3.71,3.34,3.86
Omeprazole 20 mg cap/tab,Private,MPR,Afghanistan,2011,November,2.02,1.68,2.69
Omeprazole 20 mg cap/tab,Public,MPR,Afghanistan,2011,November,0.40,0.38,0.46
Paracetamol 120 mg/5ml suspension,Private,MPR,Afghanistan,2011,November,2.12,1.33,2.33
Paracetamol 120 mg/5ml suspension,Public,MPR,Afghanistan,2011,November,2.12,2.07,2.40
Salbutamol 100 mcg/dose inhaler,Private,MPR,Afghanistan,2011,November,1.07,0.88,1.07
Salbutamol 100 mcg/dose inhaler,Public,MPR,Afghanistan,2011,November,0.95,0.95,0.95
Simvastatin 20 mg cap/tab,Private,MPR,Afghanistan,2011,November,1.84,1.41,2.70
Simvastatin 20 mg cap/tab,Public,MPR,Afghanistan,2011,November,1.38,1.35,1.48
Amitriptyline 25 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.02,0.01,0.02
Amitriptyline 25 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.01,0.01,0.02
Amoxicillin 500 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.05,0.05,0.06
Amoxicillin 500 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.04,0.04,0.05
Atenolol 50 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.02,0.02,0.02
Atenolol 50 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.01,0.01,0.02
Captopril 25 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.02,0.02,0.02
Captopril 25 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.02,0.02,0.02
Ceftriaxone 1 g/vial injection,Private,Unit,Afghanistan,2011,November,1.21,1.11,1.46
Ceftriaxone 1 g/vial injection,Public,Unit,Afghanistan,2011,November,0.91,0.81,0.95
