Full Drug Name,Drug,Public/Private,Unit/MPR,MSH,Country,Year,Month,Price
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2010,Afghanistan,2011,November,2.32
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,MPR,MSH2010,Afghanistan,2011,November,1.78
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,MPR,MSH2010,Afghanistan,2011,November,1.86
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,MPR,MSH2010,Afghanistan,2011,November,1.53
Atenolol 50 mg cap/tab,Atenolol,Private,MPR,MSH2010,Afghanistan,2011,November,1.83
Atenolol 50 mg cap/tab,Atenolol,Public,MPR,MSH2010,Afghanistan,2011,November,1.49
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2010,Afghanistan,2011,November,1.61
Captopril 25 mg cap/tab,Captopril,Public,MPR,MSH2010,Afghanistan,2011,November,1.27
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2010,Afghanistan,2011,November,1.76
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,MPR,MSH2010,Afghanistan,2011,November,1.32
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2010,Afghanistan,2011,November,3.3
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,MPR,MSH2010,Afghanistan,2011,November,2.31
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,MPR,MSH2010,Afghanistan,2011,November,2.16
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,MPR,MSH2010,Afghanistan,2011,November,1.68
Diazepam 5 mg cap/tab,Diazepam,Private,MPR,MSH2010,Afghanistan,2011,November,3.31
Diazepam 5 mg cap/tab,Diazepam,Public,MPR,MSH2010,Afghanistan,2011,November,2.48
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2010,Afghanistan,2011,November,5.21
Diclofenac 50 mg cap/tab,Diclofenac,Public,MPR,MSH2010,Afghanistan,2011,November,3.19
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,MPR,MSH2010,Afghanistan,2011,November,4.16
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,MPR,MSH2010,Afghanistan,2011,November,3.71
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2010,Afghanistan,2011,November,2.02
Omeprazole 20 mg cap/tab,Omeprazole,Public,MPR,MSH2010,Afghanistan,2011,November,0.4
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,MPR,MSH2010,Afghanistan,2011,November,2.12
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,MPR,MSH2010,Afghanistan,2011,November,2.12
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2010,Afghanistan,2011,November,1.07
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,MPR,MSH2010,Afghanistan,2011,November,0.95
Simvastatin 20 mg cap/tab,Simvastatin,Private,MPR,MSH2010,Afghanistan,2011,November,1.84
Simvastatin 20 mg cap/tab,Simvastatin,Public,MPR,MSH2010,Afghanistan,2011,November,1.38
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,Afghanistan,2011,November,0.018
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,Unit,,Afghanistan,2011,November,0.014
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,Unit,,Afghanistan,2011,November,0.054
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,Unit,,Afghanistan,2011,November,0.044
Atenolol 50 mg cap/tab,Atenolol,Private,Unit,,Afghanistan,2011,November,0.017
Atenolol 50 mg cap/tab,Atenolol,Public,Unit,,Afghanistan,2011,November,0.014
Captopril 25 mg cap/tab,Captopril,Private,Unit,,Afghanistan,2011,November,0.019
Captopril 25 mg cap/tab,Captopril,Public,Unit,,Afghanistan,2011,November,0.015
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,Afghanistan,2011,November,1.214
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,Unit,,Afghanistan,2011,November,0.911
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,Afghanistan,2011,November,0.101
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,Unit,,Afghanistan,2011,November,0.071
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,Unit,,Afghanistan,2011,November,0.009
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,Unit,,Afghanistan,2011,November,0.007
Diazepam 5 mg cap/tab,Diazepam,Private,Unit,,Afghanistan,2011,November,0.02
Diazepam 5 mg cap/tab,Diazepam,Public,Unit,,Afghanistan,2011,November,0.015
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,Afghanistan,2011,November,0.022
Diclofenac 50 mg cap/tab,Diclofenac,Public,Unit,,Afghanistan,2011,November,0.014
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,Unit,,Afghanistan,2011,November,0.014
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,Unit,,Afghanistan,2011,November,0.013
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,Afghanistan,2011,November,0.061
Omeprazole 20 mg cap/tab,Omeprazole,Public,Unit,,Afghanistan,2011,November,0.012
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,Unit,,Afghanistan,2011,November,0.008
